Date Time UTC;T - Actual [°C];T - Average [°C];RH - Actual [%];RH - Average [%];CO2 - Actual [ppm];CO2 - Average [ppm];PAR - Actual [µmol/m²/s];PAR - Average [µmol/m²/s]
9/2/2019 07:01:42;22.1245421245421;22.1233211233211;43.3699633699634;43.3601953601954;415.140415140415;412.576312576313;-4.85;-4.85
9/2/2019 07:02:42;22.1245421245421;22.1269841269841;43.5164835164835;43.4920634920635;413.919413919414;413.919413919414;-4.85;-4.85
9/2/2019 07:03:42;22.1245421245421;22.1294261294261;43.5653235653236;43.5482295482295;413.919413919414;409.523809523809;-4.85;-4.85
9/2/2019 07:04:42;22.1489621489621;22.1269841269841;43.6141636141636;43.5628815628816;409.035409035409;406.471306471306;-4.85;-4.85
9/2/2019 07:05:48;22.1245421245421;22.1391941391941;43.7851037851038;43.6434676434676;407.814407814408;411.233211233211;-4.85;-4.85
9/2/2019 07:06:48;22.1489621489621;22.1343101343101;43.7851037851038;43.7753357753358;412.698412698413;414.529914529914;-4.85;-4.85
9/2/2019 07:07:48;22.1489621489621;22.1282051282051;43.8583638583639;43.7924297924298;406.593406593407;408.913308913309;-4.85;-4.85
9/2/2019 07:08:48;22.1245421245421;22.1196581196581;44.004884004884;43.9316239316239;404.151404151404;405.006105006105;-4.85;-4.85
9/2/2019 07:09:48;22.1123321123321;22.1184371184371;43.956043956044;43.985347985348;407.814407814408;412.210012210012;-4.85;-4.85
9/2/2019 07:10:48;22.1245421245421;22.1208791208791;44.2002442002442;44.0610500610501;416.361416361416;404.639804639805;-4.85;-4.85
9/2/2019 07:11:48;22.1245421245421;22.1147741147741;44.2002442002442;44.1465201465201;400.488400488401;407.448107448108;-4.508;-4.8158
9/2/2019 07:12:48;22.1245421245421;22.1159951159951;44.2002442002442;44.1782661782662;406.593406593407;403.663003663004;-4.85;-4.85
9/2/2019 07:13:48;22.1123321123321;22.1159951159951;44.1758241758242;44.1855921855922;417.582417582418;410.622710622711;-4.85;-4.85
9/2/2019 07:14:54;22.1245421245421;22.1147741147741;44.2002442002442;44.2612942612943;412.698412698413;410.50061050061;-4.85;-4.85
9/2/2019 07:15:54;22.1123321123321;22.1147741147741;44.3956043956044;44.3540903540903;416.361416361416;415.995115995116;-4.85;-4.85
9/2/2019 07:16:54;22.1245421245421;22.1221001221001;44.4200244200244;44.4053724053724;412.698412698413;412.087912087912;-4.85;-4.85
9/2/2019 07:17:54;22.1245421245421;22.1196581196581;44.3956043956044;44.4053724053724;404.151404151404;414.896214896215;-4.85;-4.85
9/2/2019 07:18:54;22.1489621489621;22.1343101343101;44.4444444444444;44.4273504273504;404.151404151404;408.791208791209;-4.85;-4.85
9/2/2019 07:19:54;22.1123321123321;22.1221001221001;44.6153846153846;44.5250305250305;404.151404151404;402.808302808303;-4.85;-4.85
9/2/2019 07:20:54;22.1123321123321;22.1172161172161;44.6153846153846;44.6227106227106;412.698412698413;408.424908424908;-4.85;-4.85
9/2/2019 07:21:54;22.1245421245421;22.1172161172161;44.6398046398046;44.6227106227106;416.361416361416;407.936507936508;-4.85;-4.85
