Date Time UTC;T - Actual [°C];T - Average [°C];RH - Actual [%];RH - Average [%];CO2 - Actual [ppm];CO2 - Average [ppm];PAR - Actual [µmol/m²/s];PAR - Average [µmol/m²/s]
7/12/2019 07:01:48;21.6117216117216;21.6410256410256;47.1306471306471;45.8363858363858;435.897435897436;433.699633699634;-4.85;-4.85
7/12/2019 07:02:48;21.5995115995116;21.6153846153846;45.1770451770452;46.063492063492;432.234432234432;432.844932844933;-4.85;-4.85
7/12/2019 07:03:48;21.6117216117216;21.6043956043956;47.032967032967;46.8498168498168;440.781440781441;435.531135531136;-4.85;-4.85
7/12/2019 07:04:48;21.6117216117216;21.6105006105006;46.5201465201465;45.9145299145299;434.676434676435;432.112332112332;-4.85;-4.85
7/12/2019 07:05:48;21.6605616605617;21.6422466422466;46.0561660561661;47.006105006105;427.350427350427;432.234432234432;-4.85;-4.85
7/12/2019 07:06:48;21.6727716727717;21.6617826617827;47.3992673992674;46.034188034188;428.571428571429;433.577533577533;-4.85;-4.85
7/12/2019 07:07:48;21.6849816849817;21.6996336996337;45.1770451770452;46.5787545787546;438.339438339438;436.019536019536;-4.85;-4.85
7/12/2019 07:08:48;21.7338217338217;21.7179487179487;47.2527472527472;46.7155067155067;439.56043956044;439.316239316239;-4.85;-4.85
7/12/2019 07:09:48;21.7216117216117;21.7289377289377;44.6642246642247;44.9426129426129;439.56043956044;439.438339438339;-4.85;-4.85
7/12/2019 07:10:48;21.6727716727717;21.6849816849817;45.5677655677656;45.8168498168498;440.781440781441;438.949938949939;-4.85;-4.85
7/12/2019 07:11:48;21.5995115995116;21.6227106227106;47.032967032967;45.4749694749695;438.339438339438;439.80463980464;-4.85;-4.85
7/12/2019 07:12:48;21.6117216117216;21.6056166056166;46.6666666666667;47.4188034188034;434.676434676435;441.269841269841;-4.85;-4.85
7/12/2019 07:13:48;21.6605616605617;21.6324786324786;47.7655677655678;46.8522588522588;439.56043956044;439.072039072039;-4.85;-4.85
7/12/2019 07:14:48;21.6727716727717;21.6800976800977;43.8095238095238;45.8876678876679;438.339438339438;434.920634920635;-4.85;-4.85
7/12/2019 07:15:48;21.6727716727717;21.6691086691087;46.1294261294261;45.4920634920635;434.676434676435;435.897435897436;-4.85;-4.85
7/12/2019 07:16:48;21.5995115995116;21.6300366300366;45.5189255189255;45.3137973137973;428.571428571429;433.211233211233;-4.85;-4.85
7/12/2019 07:17:48;21.6117216117216;21.6043956043956;47.6923076923077;47.3626373626374;432.234432234432;432.234432234432;-4.85;-4.85
7/12/2019 07:18:48;21.6483516483517;21.6275946275946;47.1550671550672;46.7936507936508;440.781440781441;437.851037851038;-4.85;-4.85
7/12/2019 07:19:48;21.7094017094017;21.6886446886447;45.0793650793651;46.8522588522588;435.897435897436;438.705738705739;-4.85;-4.85
7/12/2019 07:20:48;21.6849816849817;21.6898656898657;46.3003663003663;44.974358974359;445.665445665446;441.391941391941;-4.85;-4.85
7/12/2019 07:21:54;21.6239316239316;21.6630036630037;44.6398046398046;45.3992673992674;445.665445665446;445.054945054945;-4.85;-4.85
7/12/2019 07:22:54;21.6239316239316;21.6153846153846;48.009768009768;46.7985347985348;446.886446886447;444.810744810745;-4.85;-4.85
7/12/2019 07:23:54;21.6483516483517;21.6434676434676;46.6422466422466;47.1159951159951;448.107448107448;446.275946275946;-4.85;-4.85
7/12/2019 07:24:54;21.7216117216117;21.7045177045177;46.5201465201465;47.4481074481074;446.886446886447;445.665445665446;-4.85;-4.85
7/12/2019 07:25:54;21.7460317460317;21.7350427350427;45.8119658119658;44.8791208791209;446.886446886447;446.153846153846;-4.85;-4.85
7/12/2019 07:26:54;21.7216117216117;21.7264957264957;44.5665445665446;45.6092796092796;442.002442002442;441.758241758242;-4.85;-4.85
7/12/2019 07:27:54;21.6605616605617;21.6703296703297;46.6422466422466;45.4896214896215;442.002442002442;444.078144078144;-4.85;-4.85
7/12/2019 07:28:54;21.6239316239316;21.6520146520147;45.6654456654457;46.3150183150183;446.886446886447;447.863247863248;-4.85;-4.85
7/12/2019 07:29:54;21.7094017094017;21.6691086691087;47.6434676434676;47.2136752136752;445.665445665446;446.398046398046;-4.85;-4.85
7/12/2019 07:30:54;21.7216117216117;21.7106227106227;45.958485958486;45.8192918192918;442.002442002442;445.665445665446;-4.85;-4.85
7/12/2019 07:31:54;21.7338217338217;21.7399267399267;45.3968253968254;46.4126984126984;452.991452991453;444.444444444444;-4.85;-4.85
7/12/2019 07:32:54;21.7216117216117;21.7228327228327;46.5445665445665;45.1404151404151;442.002442002442;441.269841269841;-4.85;-4.85
7/12/2019 07:33:54;21.6727716727717;21.7020757020757;44.4200244200244;45.7924297924298;440.781440781441;440.903540903541;-4.85;-4.85
7/12/2019 07:34:54;21.6483516483517;21.6581196581197;46.6422466422466;45.7997557997558;439.56043956044;448.473748473748;-4.85;-4.85
7/12/2019 07:35:54;21.5873015873016;21.6141636141636;45.3968253968254;45.3357753357753;442.002442002442;446.153846153846;-4.85;-4.85
7/12/2019 07:36:54;21.5995115995116;21.5946275946276;48.3516483516484;47.6947496947497;454.212454212454;456.166056166056;-4.85;-4.85
7/12/2019 07:37:54;21.6727716727717;21.6398046398046;47.3992673992674;47.5286935286935;454.212454212454;450.06105006105;-4.85;-4.85
7/12/2019 07:38:54;21.7460317460317;21.7240537240537;45.3724053724054;47.1941391941392;444.444444444444;450.793650793651;-4.85;-4.85
7/12/2019 07:39:54;21.7704517704518;21.7606837606838;46.3980463980464;45.040293040293;444.444444444444;452.869352869353;-4.85;-4.85
